date,user,type,value,tags,tweet_url
2026-09-03 19:49:21,TKemmerling,url,http://budgetweddingplanner.info,#phishing,https://x.com/TKemmerling/status/2095600052068553203
2026-09-03 19:49:21,TKemmerling,domain,budgetweddingplanner.info,#phishing,https://x.com/TKemmerling/status/2095600052068553203
2026-09-02 14:08:46,TKemmerling,domain,jessicaleeinc.com,#phishing,https://x.com/TKemmerling/status/2095151953026457791
2026-09-02 14:08:46,TKemmerling,url,http://jessicaleeinc.com,#phishing,https://x.com/TKemmerling/status/2095151953026457791
2026-09-02 04:07:27,TKemmerling,domain,jeffersongraphicsllc.com,#phishing,https://x.com/TKemmerling/status/2095000627382501829
2026-09-02 04:07:27,TKemmerling,url,http://jeffersongraphicsllc.com,#phishing,https://x.com/TKemmerling/status/2095000627382501829
2026-09-02 03:00:48,TKemmerling,domain,prosperityplanningguide.com,#phishing,https://x.com/TKemmerling/status/2094983856529326218
2026-09-02 03:00:48,TKemmerling,url,http://prosperityplanningguide.com,#phishing,https://x.com/TKemmerling/status/2094983856529326218
2026-09-02 03:00:48,TKemmerling,url,http://horizonpeak.shop,#phishing,https://x.com/TKemmerling/status/2094983856529326218
2026-09-02 03:00:48,TKemmerling,domain,horizonpeak.shop,#phishing,https://x.com/TKemmerling/status/2094983856529326218
2026-09-01 14:34:42,TKemmerling,domain,jessicaleeinc.com,#phishing,https://x.com/TKemmerling/status/2094796091728474388
2026-09-01 14:34:42,TKemmerling,url,http://jessicaleeinc.com,#phishing,https://x.com/TKemmerling/status/2094796091728474388
2026-09-01 14:33:44,TKemmerling,domain,jeffersongraphicsllc.com,#phishing,https://x.com/TKemmerling/status/2094795847594828215
2026-09-01 14:33:44,TKemmerling,url,http://jeffersongraphicsllc.com,#phishing,https://x.com/TKemmerling/status/2094795847594828215
2026-09-01 14:33:44,TKemmerling,url,http://financialmarkets.info,#phishing,https://x.com/TKemmerling/status/2094795847594828215
2026-09-01 14:33:44,TKemmerling,domain,financialmarkets.info,#phishing,https://x.com/TKemmerling/status/2094795847594828215
2026-09-01 03:08:08,TKemmerling,url,http://budgetweddingplanner.info,#phishing,https://x.com/TKemmerling/status/2094623313700303145
2026-09-01 03:08:08,TKemmerling,domain,budgetweddingplanner.info,#phishing,https://x.com/TKemmerling/status/2094623313700303145
2026-08-30 16:16:16,TKemmerling,domain,prosperityplanningguide.com,#phishing,https://x.com/TKemmerling/status/2094096877092495704
2026-08-30 16:16:16,TKemmerling,url,http://prosperityplanningguide.com,#phishing,https://x.com/TKemmerling/status/2094096877092495704
2026-08-30 16:16:16,TKemmerling,url,http://horizonpeak.shop,#phishing,https://x.com/TKemmerling/status/2094096877092495704
2026-08-30 16:16:16,TKemmerling,domain,horizonpeak.shop,#phishing,https://x.com/TKemmerling/status/2094096877092495704
2026-08-30 16:16:03,TKemmerling,domain,schoolgirstrikers.info,#phishing,https://x.com/TKemmerling/status/2094096823338291575
2026-08-30 16:16:03,TKemmerling,url,http://schoolgirstrikers.info,#phishing,https://x.com/TKemmerling/status/2094096823338291575
2026-08-29 02:57:14,TKemmerling,url,http://figurmanager.com,#phishing,https://x.com/TKemmerling/status/2093533407561359704
2026-08-29 02:57:14,TKemmerling,domain,figurmanager.com,#phishing,https://x.com/TKemmerling/status/2093533407561359704
2026-08-29 02:57:08,TKemmerling,url,http://horizonpeak.shop,#phishing,https://x.com/TKemmerling/status/2093533379195244819
2026-08-29 02:57:08,TKemmerling,domain,horizonpeak.shop,#phishing,https://x.com/TKemmerling/status/2093533379195244819
2026-08-29 02:56:48,TKemmerling,domain,schoolgirstrikers.info,#phishing,https://x.com/TKemmerling/status/2093533296760332662
2026-08-29 02:56:48,TKemmerling,url,http://schoolgirstrikers.info,#phishing,https://x.com/TKemmerling/status/2093533296760332662
2026-08-27 00:22:10,TKemmerling,url,http://financialmarkets.info,#phishing,https://x.com/TKemmerling/status/2092769604116549868
2026-08-27 00:22:10,TKemmerling,url,http://figurmanager.com,#phishing,https://x.com/TKemmerling/status/2092769604116549868
2026-08-27 00:22:10,TKemmerling,domain,financialmarkets.info,#phishing,https://x.com/TKemmerling/status/2092769604116549868
2026-08-27 00:22:10,TKemmerling,domain,figurmanager.com,#phishing,https://x.com/TKemmerling/status/2092769604116549868
2026-08-25 13:46:24,TKemmerling,url,http://financialmarkets.info,#phishing,https://x.com/TKemmerling/status/2092247222259941826
2026-08-25 13:46:24,TKemmerling,domain,financialmarkets.info,#phishing,https://x.com/TKemmerling/status/2092247222259941826
